type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Parallel,4096,7,128,1657.119106,43.236366,1466157742,24980603,19637731330,10840581342,140723988960272
Parallel,5120,7,128,3241.063991,82.396984,2859419635,48007449,38348521474,21162804399,140723988960272
Parallel,6144,7,128,5652.738458,141.061309,4940589693,82292266,66265808898,36562211468,140723988960272
Parallel,7168,7,128,9005.406482,218.009569,7841082625,137513517,105226698754,58049555661,140723988960272
Parallel,8192,7,128,13749.966482,335.422046,11741468324,205526621,157076684802,86648536673,140723988960272
Parallel,1024,6,128,27.612873,1.524458,28731032,650025,360710146,200537458,140731717950544
Parallel,2048,6,128,213.517261,6.395437,214628042,3736239,2864709634,1582466883,140731717950544
Parallel,3072,6,128,751.457054,19.476441,725262585,13693868,9663676418,5334457740,140731717950544
Parallel,4096,6,128,1827.634727,45.482145,1715970817,30641681,22909288450,12642157479,140731717950544
Parallel,5120,6,128,3600.148655,87.131160,3335962479,58610298,44740640770,24686910144,140731717950544
Parallel,6144,6,128,6261.192021,149.286530,5761179387,105090860,77309411330,42648690456,140731717950544
Parallel,7168,6,128,9996.222131,236.170739,9153284259,157120350,122767278082,67722115099,140731717950544
Parallel,8192,6,128,15201.917328,357.092815,13694235430,251301333,183253336066,101078259257,140731717950544
Parallel,1024,5,128,26.474348,1.328499,32717322,596814,432013314,239728135,140734786762112
Parallel,2048,5,128,255.128959,6.506653,257040312,4599439,3439329282,1899594108,140734786762112
Parallel,3072,5,128,906.951849,20.283100,865335287,14057486,11597250562,6401637603,140734786762112
